post_id,text,date,source
32,"BNI Expo 2024 target Rp1T, senang menjadi nasabah!",2024-02-09,Instagram
33,"BNI Expo 2024 sasaran Rp1T, bangga sebagai nasabah!",2024-04-17,X
34,BNI Best Employee Award 2024 diumumkan hari ini.,2024-03-12,X
35,"BNI luncurkan QRIS wondr, ada yang sudah coba?",2024-04-13,Facebook
36,"BNI support UMKM dengan kredit baru, info lengkap di web.",2024-04-16,Facebook
37,"BNI Direct cash pembayaran Rp6T, mantap!",2024-06-20,Instagram
38,"BNI TapCash promosi NCT 127 bagus banget, hemat 50% di merchant!",2024-05-08,Instagram
39,BNI kenapa sih atm selalu antre panjang?,2024-02-26,Instagram
40,"BNI TapCash promosi NCT 127 hebat banget, hemat 50% di merchant!",2024-03-09,Facebook
41,"BNI Direct cash transaksi Rp6T, mantap!",2024-07-17,X
42,"Layanan CS BNI lambat, komplain gak ditanggapi!",2024-01-10,Facebook
43,"BNI Expo 2024 target Rp1T, bangga sebagai nasabah!",2024-07-07,Instagram
44,"HUT BNI ke-78, ada promo apa tahun ini?",2024-03-30,Facebook
45,"QRIS wondr BNI bikin transaksi cepat, mantap terus!",2024-07-04,Facebook
46,"Aplikasi BNI Mobile kesalahan lagi, mohon perbaiki dong!",2024-01-29,X
47,"BNI Expo 2024 target Rp1T, bangga jadi nasabah!",2024-02-15,X
48,"TapCash BNI rusak, gak mampu dipakai pada merchant.",2024-01-07,Instagram
49,BNI kenapa sih atm selalu menunggu panjang?,2024-04-25,X
50,"Laba BNI 2023 Rp 20T, bank nomor satu di Indonesia!",2024-06-23,X
51,"BNI luncurkan QRIS wondr, ada yang telah coba?",2024-05-07,Instagram
52,BNI Best Employee Award 2024 diumumkan hari ini.,2024-02-24,Instagram
53,"BNI dukung UMKM dengan kredit baru, data lengkap di web.",2024-05-27,Facebook
54,BNI Best Karyawan Award 2024 diumumkan hari ini.,2024-02-08,X
55,BNI kenapa sih atm selalu antri panjang?,2024-05-19,X
56,BNI Best Pegawai Award 2024 diumumkan today ini.,2024-01-31,Instagram
57,"Laba BNI 2023 Rp 20T, bank terbaik pada Indonesia!",2024-05-30,Instagram
58,"BNI TapCash promosi NCT 127 keren banget, hemat 50% di merchant!",2024-02-16,X
59,"BNI Direct cash pembayaran Rp6T, mantap!",2024-04-20,Instagram
60,"Laba BNI 2023 Rp 20T, bank nomor satu di Indonesia!",2024-07-26,X
61,"QRIS wondr BNI membuat pembayaran cepat, berhasil terus!",2024-04-08,Instagram
62,"BNI Direct cash pembayaran Rp6T, mantap!",2024-02-24,Facebook
63,BNI Best Pegawai Award 2024 diumumkan today ini.,2024-07-07,Instagram
64,"BNI TapCash promosi NCT 127 bagus banget, murah 50% di merchant!",2024-02-16,Instagram
65,"BNI TapCash promo NCT 127 keren banget, hemat 50% di merchant!",2024-03-21,X
66,"Layanan CS BNI lambat, aduan belum ditanggapi!",2024-06-26,X
67,"QRIS wondr BNI bikin transaksi cepat, sukses terus!",2024-04-21,Instagram
68,"Ulang Tahun BNI ke-78, ada promo apa tahun ini?",2024-04-08,Facebook
69,"QRIS wondr BNI bikin operasi cepat, mantap terus!",2024-05-21,Facebook
70,"BNI dukung UMKM dengan kredit baru, informasi detail di web.",2024-06-10,Facebook
71,"BNI luncurkan QRIS wondr, ada yang sudah coba?",2024-02-05,Instagram
72,"Laba BNI 2023 Rp 20T, lembaga keuangan terbaik pada Indonesia!",2024-03-07,X
73,"BNI Expo 2024 tujuan Rp1T, senang menjadi nasabah!",2024-06-21,Facebook
74,"HUT BNI ke-78, adakah promo apakah tahun ini?",2024-04-15,X
75,"BNI distribusikan dividen Rp13,9T bagi 2023, periksa berita!",2024-04-07,X
76,"BNI distribusikan keuntungan Rp13,9T untuk 2023, periksa berita!",2024-04-11,X
77,"BNI support UMKM dengan kredit baru, info lengkap di web.",2024-02-25,X
78,"BNI Direct cash pembayaran Rp6T, mantap!",2024-03-13,Facebook
79,"Laba BNI 2023 Rp 20T, bank terbaik di Indonesia!",2024-04-24,Instagram
80,"Laba BNI 2023 Rp 20T, lembaga keuangan terbaik pada Indonesia!",2024-01-27,X
81,"BNI bagikan dividen Rp13,9T untuk 2023, cek berita!",2024-01-25,Instagram
82,"Transaksi QRIS gagal, bikin embarrassed pada kasir!",2024-04-06,X
83,"BNI Direct cash pembayaran Rp6T, mantap!",2024-06-23,Instagram
84,"QRIS wondr BNI bikin transaksi cepat, sukses terus!",2024-02-12,Facebook
85,"BNI Direct cash transaksi Rp6T, mantap!",2024-07-19,Instagram
86,"Laba BNI 2023 Rp 20T, bank nomor satu pada Indonesia!",2024-06-23,Facebook
87,"HUT BNI ke-78, ada promo apa tahun ini?",2024-01-13,Instagram
88,"Layanan CS BNI lambat, aduan gak ditanggapi!",2024-04-12,Facebook
89,"BNI luncurkan QRIS wondr, ada yang sudah coba?",2024-01-08,X
90,"TapCash BNI rusak, gak dapat dipakai di merchant.",2024-01-07,Instagram
91,"BNI Direct cash pembayaran Rp6T, mantap!",2024-06-10,X
92,"BNI luncurkan QRIS wondr, adakah yang sudah coba?",2024-04-24,Instagram
93,BNI Best Karyawan Award 2024 diumumkan hari ini.,2024-02-08,Instagram
94,"Aplikasi BNI Mobile error lagi, tolong betulkan dong!",2024-07-09,Instagram
95,"BNI luncurkan QRIS wondr, ada yang sudah coba?",2024-06-09,Facebook
96,"TapCash BNI rusak, gak bisa digunakan pada merchant.",2024-02-13,Instagram
97,"Transaksi QRIS gagal, bikin malu di kasir!",2024-04-01,X
98,"Laba BNI 2023 Rp 20T, bank terhebat di Indonesia!",2024-03-08,X
99,"BNI TapCash promo NCT 127 keren banget, hemat 50% pada merchant!",2024-03-22,Facebook
100,"BNI Expo 2024 target Rp1T, senang menjadi nasabah!",2024-06-07,X
101,"BNI Expo 2024 target Rp1T, bangga menjadi nasabah!",2024-01-07,Instagram
102,BNI mengapa sih atm senantiasa menunggu panjang?,2024-05-28,Facebook
103,"BNI Direct cash transaksi Rp6T, mantap!",2024-02-24,Facebook
104,"Aplikasi BNI Mobile kesalahan lagi, tolong perbaiki dong!",2024-03-19,Facebook
105,BNI Terbaik Employee Award 2024 diumumkan today ini.,2024-07-29,X
106,"Laba BNI 2023 Rp 20T, bank terbaik pada Indonesia!",2024-06-03,Facebook
107,"BNI TapCash promo NCT 127 hebat banget, hemat 50% pada merchant!",2024-02-23,Instagram
108,"BNI luncurkan QRIS wondr, adakah siapa sudah coba?",2024-03-29,Instagram
109,"Laba BNI 2023 Rp 20T, lembaga keuangan nomor satu di Indonesia!",2024-03-27,Facebook
110,"BNI Expo 2024 target Rp1T, bangga menjadi nasabah!",2024-04-10,Facebook
111,"Laba BNI 2023 Rp 20T, bank terhebat di Indonesia!",2024-06-12,X
112,"BNI TapCash promo NCT 127 hebat banget, hemat 50% di merchant!",2024-03-29,Instagram
113,"HUT BNI ke-78, ada diskon apa tahun ini?",2024-07-14,Instagram
114,"BNI bagikan dividen Rp13,9T untuk 2023, periksa berita!",2024-04-04,X
115,"Layanan CS BNI lambat, komplain gak ditanggapi!",2024-07-31,X
116,"HUT BNI ke-78, ada promosi apa year ini?",2024-06-16,Facebook
117,"BNI dukung UMKM dengan kredit baru, info lengkap di web.",2024-06-15,Instagram
118,"Laba BNI 2023 Rp 20T, lembaga keuangan nomor satu di Indonesia!",2024-03-16,Facebook
119,"Ulang Tahun BNI ke-78, adakah promo apa year ini?",2024-01-24,X
120,"Aplikasi BNI Mobile gangguan lagi, tolong perbaiki dong!",2024-01-10,X
121,"BNI dukung UMKM menggunakan kredit baru, info lengkap di web.",2024-04-14,Instagram
122,"HUT BNI ke-78, adakah promosi apa tahun ini?",2024-04-18,Instagram
123,"QRIS wondr BNI membuat transaksi cepat, berhasil terus!",2024-01-25,X
124,"QRIS wondr BNI bikin pembayaran cepat, berhasil terus!",2024-07-26,X
125,"Laba BNI 2023 Rp 20T, bank terhebat di Indonesia!",2024-02-22,Facebook
126,"BNI TapCash promo NCT 127 keren banget, murah 50% di merchant!",2024-04-14,Facebook
127,"BNI dukung UMKM menggunakan pinjaman baru, informasi detail pada web.",2024-01-13,X
128,BNI Best Pegawai Award 2024 diumumkan today ini.,2024-05-03,Facebook
129,"BNI Expo 2024 target Rp1T, senang jadi nasabah!",2024-07-30,Instagram
130,"Layanan CS BNI lambat, keluhan tidak ditanggapi!",2024-02-25,Instagram
131,"BNI Direct cash transaksi Rp6T, mantap!",2024-06-08,X
132,"BNI TapCash promosi NCT 127 keren banget, hemat 50% pada merchant!",2024-07-04,X
133,"BNI TapCash promo NCT 127 keren banget, hemat 50% di merchant!",2024-07-15,X
134,"BNI Direct cash pembayaran Rp6T, mantap!",2024-04-21,Facebook
135,"BNI luncurkan QRIS wondr, ada yang sudah coba?",2024-06-25,X
136,"BNI Direct cash transaksi Rp6T, mantap!",2024-07-19,X
137,"Layanan CS BNI lambat, keluhan tidak ditanggapi!",2024-07-15,Instagram
138,"BNI bagikan dividen Rp13,9T untuk 2023, periksa berita!",2024-04-05,Instagram
139,"BNI Expo 2024 tujuan Rp1T, puas jadi nasabah!",2024-01-28,Instagram
140,"BNI bagikan keuntungan Rp13,9T untuk 2023, cek berita!",2024-03-04,Instagram
141,"BNI bagikan dividen Rp13,9T bagi 2023, cek berita!",2024-04-08,Facebook
142,"BNI Direct cash pembayaran Rp6T, mantap!",2024-07-19,X
143,"TapCash BNI rusak, gak mampu dipakai di merchant.",2024-07-24,Instagram
144,"BNI TapCash diskon NCT 127 bagus banget, hemat 50% di merchant!",2024-02-20,Instagram
145,"BNI TapCash diskon NCT 127 keren banget, hemat 50% di merchant!",2024-05-18,Facebook
146,"Laba BNI 2023 Rp 20T, lembaga keuangan nomor satu di Indonesia!",2024-04-21,Facebook
147,"Layanan CS BNI lambat, komplain tidak ditanggapi!",2024-06-04,Facebook
148,"Layanan CS BNI lambat, komplain gak ditanggapi!",2024-03-11,Instagram
149,"Laba BNI 2023 Rp 20T, bank terbaik di Indonesia!",2024-04-15,Facebook
150,"BNI Expo 2024 target Rp1T, bangga jadi nasabah!",2024-02-25,X
151,"BNI luncurkan QRIS wondr, adakah yang sudah coba?",2024-01-23,Instagram
152,"BNI Expo 2024 target Rp1T, bangga jadi nasabah!",2024-01-20,X
153,"BNI Expo 2024 target Rp1T, puas menjadi nasabah!",2024-07-10,Instagram
154,"Layanan CS BNI lambat, komplain tidak ditanggapi!",2024-06-25,X
155,"BNI luncurkan QRIS wondr, ada yang sudah coba?",2024-01-24,X
156,"BNI Expo 2024 target Rp1T, puas menjadi nasabah!",2024-05-23,Instagram
157,"Layanan CS BNI lambat, keluhan tidak ditanggapi!",2024-01-25,Instagram
158,"BNI rilis QRIS wondr, ada yang sudah coba?",2024-01-23,Facebook
159,"BNI Expo 2024 tujuan Rp1T, puas jadi nasabah!",2024-06-18,Instagram
160,"BNI luncurkan QRIS wondr, ada yang sudah coba?",2024-01-12,Instagram
161,"BNI Expo 2024 target Rp1T, puas jadi nasabah!",2024-03-31,Instagram
162,BNI mengapa sih atm setiap saat antre panjang?,2024-07-31,Facebook
163,"Layanan CS BNI lambat, aduan belum ditanggapi!",2024-07-11,X
164,"Aplikasi BNI Mobile kesalahan lagi, tolong perbaiki dong!",2024-01-11,Instagram
165,"BNI TapCash diskon NCT 127 hebat banget, hemat 50% di merchant!",2024-05-01,Instagram
166,"BNI rilis QRIS wondr, ada yang telah coba?",2024-07-26,Facebook
167,"BNI TapCash diskon NCT 127 keren banget, hemat 50% di merchant!",2024-01-05,X
168,"BNI Expo 2024 sasaran Rp1T, puas jadi nasabah!",2024-07-28,Instagram
169,"Laba BNI 2023 Rp 20T, lembaga keuangan terhebat di Indonesia!",2024-06-16,Facebook
170,"Layanan CS BNI lambat, komplain tidak ditanggapi!",2024-05-12,X
171,BNI kenapa kok atm selalu antre panjang?,2024-06-08,Instagram
172,"BNI Direct cash transaksi Rp6T, mantap!",2024-02-16,Facebook
173,"Layanan CS BNI lambat, komplain belum ditanggapi!",2024-07-23,Facebook
174,"BNI Direct cash transaksi Rp6T, mantap!",2024-02-08,X
175,"TapCash BNI rusak, gak mampu dipakai di merchant.",2024-04-17,Facebook
176,"Laba BNI 2023 Rp 20T, bank terbaik di Indonesia!",2024-01-27,Facebook
177,"TapCash BNI rusak, belum mampu dipakai di merchant.",2024-07-21,X
178,"QRIS wondr BNI bikin operasi cepat, sukses terus!",2024-01-18,Facebook
179,BNI Best Pegawai Award 2024 diumumkan hari ini.,2024-07-12,X
180,"BNI TapCash promo NCT 127 keren banget, hemat 50% pada merchant!",2024-07-28,Facebook
181,"QRIS wondr BNI bikin transaksi cepat, sukses terus!",2024-05-02,Facebook
182,"QRIS wondr BNI bikin transaksi cepat, sukses terus!",2024-07-10,Facebook
183,"Ulang Tahun BNI ke-78, ada diskon apa tahun ini?",2024-07-13,X
184,"BNI dukung UMKM dengan kredit baru, info lengkap di web.",2024-06-21,X
185,"BNI Direct cash operasi Rp6T, mantap!",2024-04-16,Facebook
186,"Transaksi QRIS gagal, bikin malu di kasir!",2024-04-03,Instagram
187,"BNI luncurkan QRIS wondr, adakah yang sudah coba?",2024-03-16,Facebook
188,"Layanan CS BNI lambat, komplain gak ditanggapi!",2024-06-29,Facebook
189,BNI kenapa sih atm selalu antri panjang?,2024-02-04,X
190,"QRIS wondr BNI membuat transaksi cepat, berhasil terus!",2024-04-08,Instagram
191,"Laba BNI 2023 Rp 20T, bank nomor satu di Indonesia!",2024-06-19,X
192,BNI Best Pegawai Penghargaan 2024 diumumkan hari ini.,2024-01-11,Instagram
193,"BNI distribusikan dividen Rp13,9T untuk 2023, cek berita!",2024-01-05,Facebook
194,BNI mengapa sih atm selalu menunggu panjang?,2024-01-04,X
195,"BNI Expo 2024 tujuan Rp1T, senang jadi nasabah!",2024-04-05,Facebook
196,"QRIS wondr BNI bikin transaksi cepat, sukses terus!",2024-01-13,Facebook
197,BNI Terbaik Employee Award 2024 diumumkan hari ini.,2024-05-13,Instagram
198,"BNI dukung UMKM dengan pinjaman baru, info lengkap pada web.",2024-04-20,Instagram
199,"BNI bagikan keuntungan Rp13,9T bagi 2023, cek berita!",2024-04-27,Instagram
200,BNI Best Pegawai Award 2024 diumumkan hari ini.,2024-01-31,X
201,"Aplikasi BNI Mobile gangguan lagi, tolong betulkan dong!",2024-04-19,X
202,"BNI Direct cash operasi Rp6T, mantap!",2024-02-27,Facebook
203,"BNI Direct cash transaksi Rp6T, mantap!",2024-05-07,Instagram
204,"BNI bagikan dividen Rp13,9T untuk 2023, periksa berita!",2024-05-08,Instagram
205,"Transaksi QRIS gagal, bikin malu di kasir!",2024-04-03,Instagram
206,"BNI Expo 2024 sasaran Rp1T, senang jadi nasabah!",2024-06-28,Facebook
207,"BNI Direct cash pembayaran Rp6T, mantap!",2024-05-21,Instagram
208,BNI kenapa sih atm selalu antri panjang?,2024-05-08,Facebook
209,"Laba BNI 2023 Rp 20T, bank nomor satu di Indonesia!",2024-01-11,X
210,"BNI Expo 2024 target Rp1T, bangga menjadi nasabah!",2024-07-18,X
211,"Aplikasi BNI Mobile gangguan lagi, tolong betulkan dong!",2024-07-09,Facebook
212,"Aplikasi BNI Mobile gangguan lagi, tolong perbaiki dong!",2024-01-15,X
213,"TapCash BNI rusak, tidak mampu dipakai pada merchant.",2024-06-26,X
214,"Laba BNI 2023 Rp 20T, bank nomor satu di Indonesia!",2024-07-14,Instagram
215,"BNI luncurkan QRIS wondr, ada siapa sudah coba?",2024-02-28,X
216,"BNI Direct cash transaksi Rp6T, mantap!",2024-05-13,Facebook
217,"BNI Expo 2024 target Rp1T, puas jadi nasabah!",2024-07-29,Instagram
218,BNI Best Employee Award 2024 diumumkan hari ini.,2024-06-13,Instagram
219,"Transaksi QRIS gagal, bikin malu di kasir!",2024-02-25,X
220,"BNI support UMKM dengan kredit baru, data lengkap di web.",2024-05-16,Instagram
221,"Aplikasi BNI Mobile error lagi, tolong perbaiki dong!",2024-06-14,X
222,"Layanan CS BNI lambat, komplain tidak ditanggapi!",2024-06-05,Instagram
223,"BNI Expo 2024 target Rp1T, bangga menjadi nasabah!",2024-01-28,X
224,"Laba BNI 2023 Rp 20T, bank terbaik di Indonesia!",2024-02-21,X
225,"BNI Expo 2024 target Rp1T, senang jadi nasabah!",2024-07-14,Instagram
226,"BNI TapCash promosi NCT 127 keren banget, murah 50% di merchant!",2024-06-22,Instagram
227,"BNI dukung UMKM dengan kredit baru, info detail di web.",2024-05-17,Facebook
228,"QRIS wondr BNI membuat operasi cepat, sukses terus!",2024-02-18,X
229,"BNI dukung UMKM dengan kredit baru, info lengkap pada web.",2024-03-30,Instagram
230,"Transaksi QRIS gagal, bikin malu di kasir!",2024-03-17,X
231,"HUT BNI ke-78, ada promo apakah tahun ini?",2024-04-08,Facebook
232,"Layanan CS BNI lambat, aduan tidak ditanggapi!",2024-01-12,X
233,BNI kenapa sih atm selalu menunggu panjang?,2024-06-23,X
234,"Transaksi QRIS gagal, bikin malu di kasir!",2024-02-01,Instagram
235,"BNI TapCash promo NCT 127 hebat banget, hemat 50% di merchant!",2024-03-07,Instagram
236,"BNI bagikan dividen Rp13,9T untuk 2023, cek berita!",2024-06-01,Instagram
237,"BNI TapCash promo NCT 127 keren banget, hemat 50% pada merchant!",2024-07-17,Instagram
238,"Laba BNI 2023 Rp 20T, lembaga keuangan terbaik di Indonesia!",2024-06-21,X
239,BNI kenapa sih atm selalu antre panjang?,2024-07-23,Facebook
240,"BNI Direct cash operasi Rp6T, mantap!",2024-04-06,Facebook
241,BNI Best Employee Penghargaan 2024 diumumkan hari ini.,2024-02-08,X
242,BNI Best Employee Award 2024 announced hari ini.,2024-04-01,X
243,BNI Best Karyawan Penghargaan 2024 diumumkan hari ini.,2024-05-01,Instagram
244,"Laba BNI 2023 Rp 20T, bank nomor satu di Indonesia!",2024-03-07,X
245,"BNI Direct cash transaksi Rp6T, mantap!",2024-02-25,Facebook
246,"BNI bagikan dividen Rp13,9T untuk 2023, cek berita!",2024-04-24,Facebook
247,"Laba BNI 2023 Rp 20T, bank terbaik di Indonesia!",2024-04-09,Instagram
248,"Ulang Tahun BNI ke-78, ada promo apa year ini?",2024-04-20,Instagram
249,"BNI dukung UMKM dengan kredit baru, info lengkap di web.",2024-06-14,Instagram
250,"BNI bagikan dividen Rp13,9T untuk 2023, lihat berita!",2024-04-24,Instagram
251,"Laba BNI 2023 Rp 20T, bank terhebat pada Indonesia!",2024-03-11,Facebook
252,"BNI TapCash promo NCT 127 bagus banget, hemat 50% di merchant!",2024-02-26,Instagram
253,BNI Terbaik Pegawai Award 2024 announced hari ini.,2024-02-23,Facebook
254,"Laba BNI 2023 Rp 20T, lembaga keuangan terbaik pada Indonesia!",2024-01-16,X
255,"BNI Direct cash transaksi Rp6T, mantap!",2024-05-12,Facebook
256,"TapCash BNI rusak, belum bisa dipakai pada merchant.",2024-05-15,Facebook
257,BNI Terbaik Employee Award 2024 diumumkan hari ini.,2024-04-09,Facebook
258,"Transaksi QRIS gagal, membuat malu di kasir!",2024-07-29,Instagram
259,"Layanan CS BNI lambat, keluhan tidak ditanggapi!",2024-06-11,Facebook
260,"BNI Expo 2024 target Rp1T, bangga jadi nasabah!",2024-03-09,X
261,"Aplikasi BNI Mobile error lagi, tolong perbaiki dong!",2024-06-08,Facebook
262,"BNI support UMKM dengan pinjaman baru, data lengkap pada web.",2024-02-21,Instagram
263,"BNI TapCash promo NCT 127 bagus banget, hemat 50% pada merchant!",2024-07-16,X
264,"Layanan CS BNI lambat, komplain belum ditanggapi!",2024-07-18,Facebook
265,"Ulang Tahun BNI ke-78, adakah promo apa tahun ini?",2024-07-13,Instagram
266,"BNI bagikan dividen Rp13,9T untuk 2023, lihat berita!",2024-07-18,Instagram
267,BNI kenapa sih atm senantiasa menunggu panjang?,2024-06-04,Instagram
268,"BNI luncurkan QRIS wondr, ada yang telah coba?",2024-03-27,X
269,"QRIS wondr BNI bikin transaksi cepat, mantap terus!",2024-06-12,Facebook
270,"BNI TapCash promo NCT 127 keren banget, hemat 50% pada merchant!",2024-07-14,X
271,BNI Best Employee Penghargaan 2024 diumumkan hari ini.,2024-07-19,Facebook
272,"BNI luncurkan QRIS wondr, adakah yang sudah coba?",2024-06-07,Instagram
273,"BNI dukung UMKM dengan kredit baru, info lengkap di web.",2024-01-13,Facebook
274,BNI Best Pegawai Award 2024 diumumkan hari ini.,2024-03-19,Instagram
275,BNI kenapa sih atm setiap saat antri panjang?,2024-01-03,Instagram
276,"TapCash BNI rusak, tidak dapat dipakai di merchant.",2024-04-10,X
277,"BNI bagikan dividen Rp13,9T untuk 2023, periksa berita!",2024-06-05,X
278,"Aplikasi BNI Mobile error lagi, tolong perbaiki dong!",2024-01-10,Instagram
279,"HUT BNI ke-78, ada promo apa tahun ini?",2024-07-27,X
280,"BNI dukung UMKM menggunakan kredit baru, data lengkap di web.",2024-05-14,Facebook
281,BNI Best Karyawan Award 2024 diumumkan hari ini.,2024-07-28,X
282,"BNI TapCash promosi NCT 127 hebat banget, hemat 50% di merchant!",2024-04-28,Instagram
283,"BNI TapCash diskon NCT 127 bagus banget, hemat 50% di merchant!",2024-02-22,X
284,"QRIS wondr BNI bikin transaksi cepat, sukses terus!",2024-07-03,Facebook
285,"TapCash BNI rusak, gak bisa dipakai di merchant.",2024-03-14,X
286,"BNI Expo 2024 tujuan Rp1T, bangga sebagai nasabah!",2024-04-18,Instagram
287,"Transaksi QRIS gagal, bikin malu pada kasir!",2024-04-23,Instagram
288,"TapCash BNI rusak, belum bisa dipakai pada merchant.",2024-04-08,X
289,"Laba BNI 2023 Rp 20T, bank nomor satu di Indonesia!",2024-04-22,X
290,"Layanan CS BNI lambat, komplain belum ditanggapi!",2024-05-25,X
291,"Laba BNI 2023 Rp 20T, bank terbaik di Indonesia!",2024-07-29,X
292,"BNI Expo 2024 tujuan Rp1T, bangga jadi nasabah!",2024-02-10,Instagram
293,BNI Best Karyawan Award 2024 diumumkan hari ini.,2024-07-30,X
294,"QRIS wondr BNI bikin transaksi cepat, mantap terus!",2024-01-02,Instagram
295,"BNI Expo 2024 target Rp1T, senang jadi nasabah!",2024-01-10,Facebook
296,"TapCash BNI rusak, gak dapat dipakai di merchant.",2024-01-11,Instagram
297,"BNI dukung UMKM dengan kredit baru, info lengkap di web.",2024-05-20,Facebook
298,"QRIS wondr BNI bikin operasi cepat, berhasil terus!",2024-05-08,Instagram
299,"TapCash BNI rusak, tidak dapat dipakai pada merchant.",2024-05-17,X
300,"QRIS wondr BNI bikin operasi cepat, sukses terus!",2024-01-07,Facebook
301,"QRIS wondr BNI bikin pembayaran cepat, berhasil terus!",2024-06-01,X
302,"TapCash BNI rusak, tidak bisa dipakai di merchant.",2024-01-26,Instagram
303,"Aplikasi BNI Mobile kesalahan lagi, tolong perbaiki dong!",2024-06-25,X
304,"Layanan CS BNI lambat, komplain tidak ditanggapi!",2024-01-03,X
305,"BNI luncurkan QRIS wondr, ada siapa sudah coba?",2024-01-19,Facebook
306,BNI Best Pegawai Award 2024 diumumkan today ini.,2024-07-17,X
307,BNI kenapa sih atm selalu menunggu panjang?,2024-07-11,X
308,"BNI TapCash promo NCT 127 bagus banget, hemat 50% di merchant!",2024-03-28,Instagram
309,"BNI luncurkan QRIS wondr, ada yang sudah coba?",2024-02-07,Facebook
310,"BNI TapCash diskon NCT 127 keren banget, murah 50% di merchant!",2024-01-05,X
311,"BNI Expo 2024 target Rp1T, bangga jadi nasabah!",2024-02-13,Instagram
312,"BNI Direct cash pembayaran Rp6T, mantap!",2024-06-10,X
313,"BNI Direct cash transaksi Rp6T, mantap!",2024-06-17,Instagram
314,"HUT BNI ke-78, ada promo apa tahun ini?",2024-01-14,X
315,"BNI bagikan dividen Rp13,9T untuk 2023, periksa berita!",2024-02-13,Instagram
316,"Aplikasi BNI Mobile error lagi, tolong betulkan dong!",2024-04-27,Facebook
317,"BNI Expo 2024 target Rp1T, bangga sebagai nasabah!",2024-06-19,Facebook
318,"BNI TapCash promo NCT 127 keren banget, hemat 50% pada merchant!",2024-07-21,X
319,"QRIS wondr BNI membuat transaksi cepat, sukses terus!",2024-02-22,X
320,"QRIS wondr BNI bikin operasi cepat, mantap terus!",2024-07-30,X
321,"TapCash BNI rusak, tidak bisa dipakai di merchant.",2024-07-18,Facebook
322,"HUT BNI ke-78, ada diskon apa tahun ini?",2024-03-17,Instagram
323,"TapCash BNI rusak, belum bisa dipakai di merchant.",2024-05-19,X
324,"BNI Expo 2024 target Rp1T, puas jadi nasabah!",2024-06-03,Instagram
325,"HUT BNI ke-78, adakah promosi apa tahun ini?",2024-05-10,X
326,"BNI dukung UMKM dengan kredit baru, data lengkap di web.",2024-03-27,Facebook
327,"TapCash BNI rusak, belum mampu dipakai di merchant.",2024-05-01,Instagram
328,"Aplikasi BNI Mobile gangguan lagi, tolong betulkan dong!",2024-04-03,Facebook
329,"Laba BNI 2023 Rp 20T, lembaga keuangan terbaik pada Indonesia!",2024-02-15,X
330,"Laba BNI 2023 Rp 20T, lembaga keuangan nomor satu di Indonesia!",2024-05-05,Instagram
331,"QRIS wondr BNI bikin operasi cepat, berhasil terus!",2024-04-09,X
